%C3%89va_Tardos,Christos_Papadimitriou
%C3%89va_Tardos,G%C3%A1bor_Tardos
%C3%89va_Tardos,Johan_H%C3%A5stad
Alan_Perlis,Edward_Feigenbaum
Alan_Perlis,Fernando_J._Corbat%C3%B3
Alan_Perlis,Frances_E._Allen
Alan_Perlis,Fred_Brooks
Alan_Perlis,Herbert_A._Simon
Alan_Perlis,Ivan_Sutherland
Alan_Perlis,James_H._Wilkinson
Alan_Perlis,Jim_Gray_(computer_scientist)
Alan_Perlis,John_Backus
Alan_Perlis,John_Cocke
Alan_Perlis,John_Hopcroft
Alan_Perlis,John_McCarthy_(computer_scientist)
Alan_Perlis,Joseph_Sifakis
Alan_Perlis,Judea_Pearl
Alan_Perlis,Juris_Hartmanis
Alan_Perlis,Kenneth_E._Iverson
Alan_Perlis,Kristen_Nygaard
Alan_Perlis,Leonard_Adleman
Alan_Perlis,Leslie_Lamport
Alan_Perlis,Leslie_Valiant
Alan_Perlis,Manuel_Blum
Alan_Perlis,Marvin_Minsky
Alan_Perlis,Michael_O._Rabin
Alan_Perlis,Michael_Stonebraker
Alan_Perlis,Niklaus_Wirth
Alan_Perlis,Ole-Johan_Dahl
Alan_Perlis,Peter_J._Denning
Alan_Perlis,Peter_Naur
Alan_Perlis,Raj_Reddy
Alan_Perlis,Richard_E._Stearns
Alan_Perlis,Richard_Hamming
Alan_Perlis,Richard_Karp
Alan_Perlis,Robert_Tarjan
Alan_Perlis,Robin_Milner
Alan_Perlis,Ron_Rivest
Alan_Perlis,Shafi_Goldwasser
Alan_Perlis,Silvio_Micali
Alan_Perlis,Stephen_Cook
Alan_Perlis,Vint_Cerf
Alan_Perlis,William_Kahan
Alan_Perlis,Zohar_Manna
Alan_Turing,Alonzo_Church
Alan_Turing,Brian_Randell
Alan_Turing,Charles_Babbage
Alan_Turing,John_von_Neumann
Alan_Turing,Konrad_Zuse
Alan_Turing,Kurt_G%C3%B6del
Alan_Turing,Martin_Campbell-Kelly
Alan_Turing,Marvin_Minsky
Alan_Turing,Max_Newman
Alan_Turing,Stephen_Wolfram
Alan_Turing,Tommy_Flowers
Alfred_Aho,Brian_Kernighan
Alfred_Aho,John_Hopcroft
Alfred_Aho,Monica_S._Lam
Alfred_Aho,Peter_J._Weinberger
Alfred_Aho,Ravi_Sethi
Alfred_Aho,Stephen_C._Johnson
Allen_Newell,Adi_Shamir
Allen_Newell,Alan_Kay
Allen_Newell,Alan_Perlis
Allen_Newell,Amir_Pnueli
Allen_Newell,Barbara_Liskov
Allen_Newell,Charles_Bachman
Allen_Newell,Charles_P._Thacker
Allen_Newell,Dana_Scott
Allen_Newell,Dennis_Ritchie
Allen_Newell,Donald_Knuth
Allen_Newell,Douglas_Engelbart
Allen_Newell,E._Allen_Emerson
Allen_Newell,Edgar_F._Codd
Allen_Newell,Edmund_M._Clarke
Allen_Newell,Edward_Feigenbaum
Allen_Newell,Fernando_J._Corbat%C3%B3
Allen_Newell,Frances_E._Allen
Allen_Newell,Fred_Brooks
Allen_Newell,Herbert_A._Simon
Allen_Newell,Ivan_Sutherland
Allen_Newell,James_H._Wilkinson
Allen_Newell,Jim_Gray_(computer_scientist)
Allen_Newell,John_Backus
Allen_Newell,John_Cocke
Allen_Newell,John_Hopcroft
